property	requirement
entrypoint	ABI-versioned typed socket-control entrypoint
identity	require exact nonzero owner handle and generation-checked guest fd
kind	require DARWIN_ART_FD_SOCKET before callback admission
lease	increment slot description and owner active counts before releasing broker mutex
operations	connect bind listen accept4 send(flags) and recv(flags) only
callback	invoke installed socket-owner callback outside broker mutex
result	return intptr value plus Android errno through DarwinArtFdIoResult
release	decrement the same lease after callback returns on every path
close-race	close marks slot closing rejects later dispatch and waits admitted dispatch
uninstall-race	owner draining rejects publication and uninstall waits active dispatch
accept	publish child description atomically or owner-close it on allocation failure
visibility	never return host fd or opaque object key to Android guest or generic host caller
exclusion	no generic object unwrap and no guest ioctl tunneling
